Company,Description,Experience,Function Area,Job Title,Location,Posting Date,Salary,Scraping Date,Tags
Diviana, Masters / Bachelors Degree in Interior Designing / Furniture Designing with 3 to 8 year...,3-8 Yrs,Interior Design Jobs,Female Interior Designer,Ghaziabad,6 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Design</li><li class=""fleft fs12 grey-text lh16 dot"">Architecture</li><li class=""fleft fs12 grey-text lh16 dot"">relationship management</li><li class=""fleft fs12 grey-text lh16 dot"">client servicing</li><li class=""fleft fs12 grey-text lh16 dot"">Furniture</li><li class=""fleft fs12 grey-text lh16 dot"">Client Interaction</li><li class=""fleft fs12 grey-text lh16 dot"">Interior Designing</li></ul>"
Grace Locks Limited, Knowledge / experience of Drafting and Design of Villas / Houses and Modular Kitchens i...,2-7 Yrs,Interior Design Jobs,"Modular Kitchen Designer, Kitchen Designer, Interior Designer","Panchkula, Mohali, Chandigarh",5 Days Ago,"2,00,000 - 4,00,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Drafting</li><li class=""fleft fs12 grey-text lh16 dot"">Kitchen Designer</li><li class=""fleft fs12 grey-text lh16 dot"">Modular Kitchen Designer</li><li class=""fleft fs12 grey-text lh16 dot"">Modular Kitchen</li><li class=""fleft fs12 grey-text lh16 dot"">Engineering Drawing</li><li class=""fleft fs12 grey-text lh16 dot"">Concept Design</li><li class=""fleft fs12 grey-text lh16 dot"">Interior Designing</li></ul>"
Infinity Group, Looking for a candidate who has min 5yrs of experience in Interiors like office interio...,5-10 Yrs,Interior Design Jobs,Interior Designer,Delhi,13 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Concept design</li><li class=""fleft fs12 grey-text lh16 dot"">Architecture</li><li class=""fleft fs12 grey-text lh16 dot"">management</li><li class=""fleft fs12 grey-text lh16 dot"">Interior Architect</li><li class=""fleft fs12 grey-text lh16 dot"">SMS</li><li class=""fleft fs12 grey-text lh16 dot"">REVIT</li><li class=""fleft fs12 grey-text lh16 dot"">3D Studio Max</li><li class=""fleft fs12 grey-text lh16 dot"">Executive search</li></ul>"
INTERIORS THE ART CREATIONS, Responsibilities : Designing and planning of interior spaces. Developing detailed worki...,3-8 Yrs,Interior Design Jobs,Interior Designer,Jodhpur,14 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Costing</li><li class=""fleft fs12 grey-text lh16 dot"">AutoCAD</li><li class=""fleft fs12 grey-text lh16 dot"">Material selection</li><li class=""fleft fs12 grey-text lh16 dot"">space planning</li></ul>"
Seven Consultancy," JOB DETAILS Required Experience, Skills and Qualifications An active listener. Paying a...",4-9 Yrs,Interior Design Jobs,Interior Designer,Trichy,8 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Front end</li><li class=""fleft fs12 grey-text lh16 dot"">Architecture</li><li class=""fleft fs12 grey-text lh16 dot"">AutoCAD</li><li class=""fleft fs12 grey-text lh16 dot"">Conceptualization</li><li class=""fleft fs12 grey-text lh16 dot"">Management</li><li class=""fleft fs12 grey-text lh16 dot"">Supervision</li></ul>"
Axis Bank Limited, Single point relationship management for the HNI clients in the priority segment of the...,5-10 Yrs,Bank Jobs,Relationship Manager Priority Banking,"Madurai, Coimbatore",6 Days Ago,"5,00,000 - 8,00,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Customer Profitability</li><li class=""fleft fs12 grey-text lh16 dot"">Relationship Management</li><li class=""fleft fs12 grey-text lh16 dot"">Finance</li><li class=""fleft fs12 grey-text lh16 dot"">Liabilities</li><li class=""fleft fs12 grey-text lh16 dot"">Priority Banking</li><li class=""fleft fs12 grey-text lh16 dot"">HNI Client Handling</li><li class=""fleft fs12 grey-text lh16 dot"">Value Added Services</li></ul>"
Ujjivan Small Finance Bank limited    , Freshers are welcome Should be able to communicate in local languagewith good communica...,0-5 Yrs,Bank Jobs,Ujjivan Bank is hiring Customer Relationship Officer For Parambuya,Parambuya,Today,"1,00,000 - 1,50,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Customer Relationship</li><li class=""fleft fs12 grey-text lh16 dot"">Communication Skills</li><li class=""fleft fs12 grey-text lh16 dot"">Sales</li><li class=""fleft fs12 grey-text lh16 dot"">group loan</li><li class=""fleft fs12 grey-text lh16 dot"">Banking</li><li class=""fleft fs12 grey-text lh16 dot"">Disbursement</li><li class=""fleft fs12 grey-text lh16 dot"">LI</li></ul>"
AU SMALL FINANCE BANK Limited, Current CTC should not be lesser than 5 LPACandidate preferred from Banking Responsible...,4-6 Yrs,Bank Jobs,Branch Relationship Manager Branch Banking,"Nasik, Pune, Aurangabad",15 Days Ago,"5,00,000 - 6,50,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">insurance</li><li class=""fleft fs12 grey-text lh16 dot"">casa</li><li class=""fleft fs12 grey-text lh16 dot"">branch sales manager</li><li class=""fleft fs12 grey-text lh16 dot"">retail liabilities</li><li class=""fleft fs12 grey-text lh16 dot"">relationship management</li><li class=""fleft fs12 grey-text lh16 dot"">team handling</li><li class=""fleft fs12 grey-text lh16 dot"">sales strategy</li><li class=""fleft fs12 grey-text lh16 dot"">cross selling</li></ul>"
HDFC Bank Limited   , RBH should make at least 5 joint calls per week with the RMs toSupervise the RM on prod...,10-18 Yrs,Bank Jobs,"RBB- Relationship Banking Head - Hdfc Bank, Hyderabad",Hyderabad,15 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Customer Relationship</li><li class=""fleft fs12 grey-text lh16 dot"">Cross Selling</li><li class=""fleft fs12 grey-text lh16 dot"">Sales Achievement</li><li class=""fleft fs12 grey-text lh16 dot"">Insurance</li><li class=""fleft fs12 grey-text lh16 dot"">Liabilities</li><li class=""fleft fs12 grey-text lh16 dot"">Banking</li><li class=""fleft fs12 grey-text lh16 dot"">Branch Sales</li><li class=""fleft fs12 grey-text lh16 dot"">Trade Finance</li></ul>"
AU SMALL FINANCE BANK Limited , Fresher / 1-2 years of experience in Field Sales (Liability / insurance sales preferred...,0-2 Yrs,Bank Jobs,Urgent Requirement For Bank Officer Branch Banking,"Ratlam, Shamgarh, Mandsaur, Neemuch, Alot",14 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Casa</li><li class=""fleft fs12 grey-text lh16 dot"">Life Insurance</li><li class=""fleft fs12 grey-text lh16 dot"">Retail Liabilities</li><li class=""fleft fs12 grey-text lh16 dot"">Fixed Deposits</li><li class=""fleft fs12 grey-text lh16 dot"">Branch Banking</li></ul>"
AU SMALL FINANCE BANK Limited , Fresher / 1-2 years of experience in Field Sales (Liability / insurance sales preferred...,0-2 Yrs,Bank Jobs,Urgent Requirement For Bank Officer Business Account,"Bhopal, Biaora, Vidisha, Raisen, Betul, Ganj Basoda, Nasurllaganj, Baraily, Hoshangabad",14 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Retail Banking</li><li class=""fleft fs12 grey-text lh16 dot"">Casa</li><li class=""fleft fs12 grey-text lh16 dot"">Sales</li><li class=""fleft fs12 grey-text lh16 dot"">Life Insurance</li><li class=""fleft fs12 grey-text lh16 dot"">Fixed Deposits</li><li class=""fleft fs12 grey-text lh16 dot"">Banking</li></ul>"
eClerx Services Ltd.," Hello, We have urgent requirement for Fresher (Analyst) level role (Investment Banking ...",0-1 Yrs,Bank Jobs,Hiring For Freshers For Investment Banking Proc - Mumbai Location,"Pune, Mumbai(Airoli)",1 Day Ago,"1,25,000 - 2,50,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Financial Analysis</li><li class=""fleft fs12 grey-text lh16 dot"">Investment Banking</li><li class=""fleft fs12 grey-text lh16 dot"">Middle Office</li><li class=""fleft fs12 grey-text lh16 dot"">Finance</li><li class=""fleft fs12 grey-text lh16 dot"">Corporate Actions</li><li class=""fleft fs12 grey-text lh16 dot"">stock market</li><li class=""fleft fs12 grey-text lh16 dot"">Derivatives</li><li class=""fleft fs12 grey-text lh16 dot"">equity</li></ul>"
INDUSIND BANK LIMITED, Any suspicious transaction must immediately be reported to the supervising officerGood ...,3-8 Yrs,Bank Jobs,Indusind Bank || Relationship Manager - Select || Hyderabad,Hyderabad,5 Days Ago,"6,00,000 - 9,00,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">NRI Relationship Manager</li><li class=""fleft fs12 grey-text lh16 dot"">Wealth Management</li><li class=""fleft fs12 grey-text lh16 dot"">Relationship Management</li><li class=""fleft fs12 grey-text lh16 dot"">Retail Branch Banking</li></ul>"
INDUSIND BANK LIMITED, Any suspicious transaction must immediately be reported to the supervising officerGood ...,3-8 Yrs,Bank Jobs,Indusind Bank || Relationship Manager - Select || Bangalore,Bengaluru,5 Days Ago,"6,00,000 - 9,00,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">NRI Relationship Manager</li><li class=""fleft fs12 grey-text lh16 dot"">Wealth Management</li><li class=""fleft fs12 grey-text lh16 dot"">Relationship Management</li><li class=""fleft fs12 grey-text lh16 dot"">Retail Branch Banking</li></ul>"
AU SMALL FINANCE BANK Limited , Responsible for ensuring a superior customer experience while onboarding accounts at th...,2-5 Yrs,Bank Jobs,Urgent Requirement For Branch Relationship Manager Branch Banking,Bhopal,13 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Casa</li><li class=""fleft fs12 grey-text lh16 dot"">Branch Sales</li><li class=""fleft fs12 grey-text lh16 dot"">Team Leading</li><li class=""fleft fs12 grey-text lh16 dot"">HNI Client Handling</li><li class=""fleft fs12 grey-text lh16 dot"">Branch Banking</li></ul>"
AU SMALL FINANCE BANK Limited ," Hi, We at AU Bank are looking for enthusiastic, super passionate & talented professiona...",6-8 Yrs,Bank Jobs,Hiring- Relationship Manager - NR (Non Resident) in Branch Banking,"Vadodara, Ahmedabad, Anand, Gandhidham, Bhuj, Nadiad,  Dahod,  Navsari",15 Days Ago,"5,00,000 - 8,00,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">NR</li><li class=""fleft fs12 grey-text lh16 dot"">Relationship Management</li><li class=""fleft fs12 grey-text lh16 dot"">Branch Banking</li></ul>"
RBL Bank Ltd," A. Position Purpose 1)To generate revenue, from sourcing new to bank relationships 2)Fr...",8-12 Yrs,Bank Jobs,Relationship Manager - Insignia Preferred Banking ,Hyderabad,8 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Quality improvement</li><li class=""fleft fs12 grey-text lh16 dot"">Penetration</li><li class=""fleft fs12 grey-text lh16 dot"">Wealth management</li><li class=""fleft fs12 grey-text lh16 dot"">Compliance</li><li class=""fleft fs12 grey-text lh16 dot"">Relationship</li><li class=""fleft fs12 grey-text lh16 dot"">Client engagement</li><li class=""fleft fs12 grey-text lh16 dot"">Forex trading</li><li class=""fleft fs12 grey-text lh16 dot"">Revenue generation</li></ul>"
Kotak Mahindra Bank Limited , Must have knowledge and expertise to ensure proper collection management by tracking ke...,2-7 Yrs,Bank Jobs,Kotak Bank : Bulk Hiring in Collections : Bucket Manager,"Bengaluru, Coimbatore, Hyderabad, Vijayawada",2 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Housing Finance</li><li class=""fleft fs12 grey-text lh16 dot"">HL</li><li class=""fleft fs12 grey-text lh16 dot"">Banking</li><li class=""fleft fs12 grey-text lh16 dot"">field collections</li><li class=""fleft fs12 grey-text lh16 dot"">Personal Loans</li><li class=""fleft fs12 grey-text lh16 dot"">LAP collections</li><li class=""fleft fs12 grey-text lh16 dot"">Recovery Management</li><li class=""fleft fs12 grey-text lh16 dot"">Collection Management</li></ul>"
INDUSIND BANK LIMITED ," Dear Aspirants, Greetings from IndusInd Bank !!! Job Opportunity on rolls of the Bank f...",1-6 Yrs,Bank Jobs,Indusind Bank  Business Development Manager,"Varanasi, Dehradun, Lucknow, Kanpur, Agra, Meerut",9 Days Ago,"1,75,000 - more than 3,00,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Retail Business</li><li class=""fleft fs12 grey-text lh16 dot"">Business Banking</li><li class=""fleft fs12 grey-text lh16 dot"">Retail Sales</li><li class=""fleft fs12 grey-text lh16 dot"">Casa</li><li class=""fleft fs12 grey-text lh16 dot"">Area Sales</li><li class=""fleft fs12 grey-text lh16 dot"">Relationship Management</li><li class=""fleft fs12 grey-text lh16 dot"">Finance</li><li class=""fleft fs12 grey-text lh16 dot"">Lead Management</li></ul>"
AU SMALL FINANCE BANK Limited ," Minimum Graduate, Masters degree in a related field will be an added advantage preferab...",2-4 Yrs,Bank Jobs,Urgent Requirement For Relationship Officer Branch Banking,"Ratlam, Shamgarh, Neemuch",14 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Retail Banking</li><li class=""fleft fs12 grey-text lh16 dot"">Casa</li><li class=""fleft fs12 grey-text lh16 dot"">Life Insurance</li><li class=""fleft fs12 grey-text lh16 dot"">Liabilities</li><li class=""fleft fs12 grey-text lh16 dot"">Fixed Deposits</li><li class=""fleft fs12 grey-text lh16 dot"">HNI Client Handling</li><li class=""fleft fs12 grey-text lh16 dot"">Branch Banking</li></ul>"
AU SMALL FINANCE BANK Limited , MBA / CA / Post Graduate .5 + years,5-8 Yrs,Bank Jobs,AU Small Finance Bank - Opening For Cluster Manager - Current Account,Pune,6 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Finance</li><li class=""fleft fs12 grey-text lh16 dot"">Banking</li><li class=""fleft fs12 grey-text lh16 dot"">Cluster Management</li><li class=""fleft fs12 grey-text lh16 dot"">Current Account</li></ul>"
AU SMALL FINANCE BANK Limited ," 5 - 8 Yrs of experience in Branch Banking, Local - must have worked in the same city fo...",5-10 Yrs,Bank Jobs,Au Small Finance Bank : Urgent Opening For Branch Manager,"Baramati, Sangamner, Narayangaon",6 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Banking</li><li class=""fleft fs12 grey-text lh16 dot"">Branch Banking</li></ul>"
INDUSIND BANK LIMITED , IndusInd Bank Job title: Key Account ManagerGrade Band: Junior/ Medium ManagementLocati...,2-6 Yrs,Bank Jobs,Indusind Bank - Key Account Manager Mumbai Location,"Mumbai Suburbs, Navi Mumbai, Mumbai",7 Days Ago,"3,50,000 - 6,00,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Branch Management</li><li class=""fleft fs12 grey-text lh16 dot"">Product Penetration</li><li class=""fleft fs12 grey-text lh16 dot"">Kam</li><li class=""fleft fs12 grey-text lh16 dot"">Relationship Management</li><li class=""fleft fs12 grey-text lh16 dot"">Finance</li><li class=""fleft fs12 grey-text lh16 dot"">Third Party Products</li><li class=""fleft fs12 grey-text lh16 dot"">Key Account Management</li><li class=""fleft fs12 grey-text lh16 dot"">LI</li></ul>"
RBL Bank Limited   , Good motivator and team management skillsShould have good understanding of technical re...,6-11 Yrs,Bank Jobs,Opening For National Technical Manager - RBL Bank Mumbai,Mumbai,12 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Business Opportunity</li><li class=""fleft fs12 grey-text lh16 dot"">Team Management Skills</li><li class=""fleft fs12 grey-text lh16 dot"">Market Survey</li><li class=""fleft fs12 grey-text lh16 dot"">Technical Evaluation</li><li class=""fleft fs12 grey-text lh16 dot"">TAT</li><li class=""fleft fs12 grey-text lh16 dot"">Real Estate</li><li class=""fleft fs12 grey-text lh16 dot"">Process Compliance</li><li class=""fleft fs12 grey-text lh16 dot"">Affordable Housing</li></ul>"
AU SMALL FINANCE BANK Limited , Minimum 6 Months experience in Banking domainEnsuring timely opening of accounts and gi...,,Bank Jobs,Bank Officer - CASA,"Jhunjhunu,  sikar",Few Hours Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Sales officer</li><li class=""fleft fs12 grey-text lh16 dot"">Casa</li><li class=""fleft fs12 grey-text lh16 dot"">Client Acquisition</li><li class=""fleft fs12 grey-text lh16 dot"">Insurance</li><li class=""fleft fs12 grey-text lh16 dot"">Liabilities Sales</li><li class=""fleft fs12 grey-text lh16 dot"">Retail Branch Banking</li><li class=""fleft fs12 grey-text lh16 dot"">Business Development</li><li class=""fleft fs12 grey-text lh16 dot"">Bank Officer</li></ul>"
Fossbytes Media Pvt. Ltd., Graduate in Must have a good command over the Must have good knowledge of Must be good ...,1-4 Yrs,Content Writing Jobs,Tech Journalist (Linux Writer),"Delhi NCR, Noida(Sector-1 Noida)",13 Days Ago,"3,00,000 - 4,50,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Linux</li><li class=""fleft fs12 grey-text lh16 dot"">content writing</li><li class=""fleft fs12 grey-text lh16 dot"">SEO</li><li class=""fleft fs12 grey-text lh16 dot"">SEO Writing</li><li class=""fleft fs12 grey-text lh16 dot"">Open Source</li><li class=""fleft fs12 grey-text lh16 dot"">Technology</li><li class=""fleft fs12 grey-text lh16 dot"">Proof Reading</li><li class=""fleft fs12 grey-text lh16 dot"">Programming</li></ul>"
Science Advise LLC," Should be able to write high-quality news articles, editorials for our clients Should a...",0-5 Yrs,Content Writing Jobs,Content Writer/ Sr. Content Writer - Work from Home,"Delhi NCR, Mumbai, Bengaluru",8 Days Ago,"1,00,000 - 6,00,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">work from home</li><li class=""fleft fs12 grey-text lh16 dot"">Time Management</li><li class=""fleft fs12 grey-text lh16 dot"">Blogs</li><li class=""fleft fs12 grey-text lh16 dot"">Articles</li><li class=""fleft fs12 grey-text lh16 dot"">Proof Reading</li><li class=""fleft fs12 grey-text lh16 dot"">Editing</li><li class=""fleft fs12 grey-text lh16 dot"">Newsletters</li><li class=""fleft fs12 grey-text lh16 dot"">Journalism</li></ul>"
DAS WRITING SERVICES PRIVATE LIMITED, DAS WRITING SERVICES PVT. LTD. is looking for enthusiastic and energetic individuals as...,0-2 Yrs,Content Writing Jobs,Content Developer / Web Content Writer / Copywriter - Full Time Urgent,Kolkata(Bidhan Nagar +1),15 Days Ago,"1,50,000 - 2,75,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">english editor</li><li class=""fleft fs12 grey-text lh16 dot"">english literature</li><li class=""fleft fs12 grey-text lh16 dot"">web content</li><li class=""fleft fs12 grey-text lh16 dot"">social media marketing</li><li class=""fleft fs12 grey-text lh16 dot"">content writing</li><li class=""fleft fs12 grey-text lh16 dot"">english content writer</li><li class=""fleft fs12 grey-text lh16 dot"">content marketing</li><li class=""fleft fs12 grey-text lh16 dot"">english writing</li></ul>"
Accuro Digital Services , Our newest remote/ work from home team member will be generating written content for a ...,2-5 Yrs,Content Writing Jobs,Full-time (Work from Home) B2B Content Writer Needed,"Chennai, Mumbai, Bengaluru",Today,"3,00,000 - 4,25,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Content Writer</li><li class=""fleft fs12 grey-text lh16 dot"">Copy Editor</li><li class=""fleft fs12 grey-text lh16 dot"">copy writer</li><li class=""fleft fs12 grey-text lh16 dot"">Content Writing</li><li class=""fleft fs12 grey-text lh16 dot"">freelancer content writer</li><li class=""fleft fs12 grey-text lh16 dot"">content developer</li></ul>"
RANDSTAD INDIA PVT LTD     , Shift timings - 8:00 am - 4:00 pmFresher can also apply with Journalism course The cand...,0-5 Yrs,Content Writing Jobs,Content Writer (Kannada & Gujarati),Noida,8 Days Ago,"2,00,000 - 4,00,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">kannada content writer</li><li class=""fleft fs12 grey-text lh16 dot"">kannada content</li><li class=""fleft fs12 grey-text lh16 dot"">kannada editing</li><li class=""fleft fs12 grey-text lh16 dot"">gujarati content</li><li class=""fleft fs12 grey-text lh16 dot"">Content Writing</li><li class=""fleft fs12 grey-text lh16 dot"">gujarati editing</li><li class=""fleft fs12 grey-text lh16 dot"">Mass Communication</li><li class=""fleft fs12 grey-text lh16 dot"">kannada video</li></ul>"
INSTOVO SOLUTION PRIVATE LIMITED , Job Description: Instaserv India Pvt. Ltd. is looking for a Content Writer Specialist. ...,0-4 Yrs,Content Writing Jobs,Digital Marketing || Content Writer || Delhi Location,Delhi(Kirti Nagar),11 Days Ago,"2,00,000 - 4,00,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">seo content writer</li><li class=""fleft fs12 grey-text lh16 dot"">Content Development</li><li class=""fleft fs12 grey-text lh16 dot"">Articles</li><li class=""fleft fs12 grey-text lh16 dot"">Web Content Writing</li><li class=""fleft fs12 grey-text lh16 dot"">Digital Marketing</li><li class=""fleft fs12 grey-text lh16 dot"">Blog Writing</li><li class=""fleft fs12 grey-text lh16 dot"">Content Writing</li></ul>"
